Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,110.160004,110.330002,110.110001,110.239998,94.207222,29200
2010-01-05,110.599998,110.750000,110.510002,110.589996,94.506348,83000
2010-01-06,110.639999,110.639999,110.339996,110.440002,94.378120,52400
2010-01-07,110.449997,110.599998,110.349998,110.400002,94.343910,63800
2010-01-08,110.699997,110.699997,110.510002,110.559998,94.480690,123200
2010-01-11,110.620003,110.739998,110.570000,110.680000,94.583191,59200
2010-01-12,111.099998,111.169998,110.980003,111.160004,94.993423,46800
2010-01-13,110.930000,111.080002,110.760002,110.790001,94.677246,190900
2010-01-14,111.059998,111.199997,110.959999,111.059998,94.907959,169800
2010-01-15,111.309998,111.500000,111.309998,111.360001,95.164345,67300
2010-01-19,111.320000,111.320000,111.199997,111.250000,95.070328,27100
2010-01-20,111.449997,111.589996,111.419998,111.459999,95.249748,121200
2010-01-21,111.339996,111.790001,111.290001,111.769997,95.514717,71000
2010-01-22,111.699997,111.870003,111.690002,111.830002,95.565987,85100
2010-01-25,111.669998,111.800003,111.669998,111.730003,95.480553,71900
2010-01-26,111.970001,111.980003,111.739998,111.870003,95.600136,46300
2010-01-27,111.989998,112.070000,111.610001,111.629997,95.395073,86800
2010-01-28,111.519997,111.769997,111.519997,111.769997,95.514717,37600
2010-01-29,111.629997,112.040001,111.519997,112.040001,95.745438,69500
2010-02-01,111.739998,111.739998,111.529999,111.629997,95.587013,209100
2010-02-02,111.699997,111.750000,111.599998,111.680000,95.629822,75600
2010-02-03,111.580002,111.620003,111.440002,111.440002,95.424278,71900
2010-02-04,111.830002,112.080002,111.750000,112.080002,95.972343,111900
2010-02-05,112.129997,112.519997,112.070000,112.339996,96.194969,66100
2010-02-08,112.150002,112.320000,112.129997,112.220001,96.092216,140300
2010-02-09,112.169998,112.279999,111.919998,111.980003,95.886719,47000
2010-02-10,112.019997,112.019997,111.629997,111.669998,95.621284,143400
2010-02-11,111.699997,111.739998,111.550003,111.699997,95.646988,89100
2010-02-12,111.930000,111.989998,111.870003,111.910004,95.826797,52800
2010-02-16,111.690002,112.099998,111.690002,112.010002,95.912399,62000
2010-02-17,111.860001,111.949997,111.550003,111.629997,95.587013,66100
2010-02-18,111.669998,111.669998,111.269997,111.400002,95.390060,55700
2010-02-19,111.250000,111.309998,111.110001,111.269997,95.278717,79900
2010-02-22,111.260002,111.360001,111.239998,111.300003,95.304413,17100
2010-02-23,111.480003,111.860001,111.400002,111.830002,95.758308,113700
2010-02-24,111.820000,111.959999,111.750000,111.800003,95.732651,73800
