Date,Open,High,Low,Close,Adj Close,Volume
2013-01-02,91.620003,91.639999,91.620003,91.620003,87.370064,1277900
2013-01-03,91.639999,91.639999,91.620003,91.620003,87.370064,294500
2013-01-04,91.620003,91.639999,91.620003,91.639999,87.389130,192700
2013-01-07,91.599998,91.620003,91.599998,91.599998,87.350983,179600
2013-01-08,91.620003,91.620003,91.599998,91.599998,87.350983,106600
2013-01-09,91.599998,91.620003,91.599998,91.599998,87.350983,197400
2013-01-10,91.599998,91.620003,91.599998,91.599998,87.350983,81100
2013-01-11,91.620003,91.620003,91.599998,91.599998,87.350983,58700
2013-01-14,91.620003,91.620003,91.599998,91.599998,87.350983,87200
2013-01-15,91.599998,91.620003,91.599998,91.599998,87.350983,72400
2013-01-16,91.599998,91.620003,91.599998,91.599998,87.350983,417500
2013-01-17,91.599998,91.620003,91.599998,91.620003,87.370064,739500
2013-01-18,91.620003,91.620003,91.599998,91.599998,87.350983,279400
2013-01-22,91.599998,91.620003,91.599998,91.599998,87.350983,139500
2013-01-23,91.599998,91.620003,91.599998,91.599998,87.350983,150200
2013-01-24,91.599998,91.620003,91.599998,91.620003,87.370064,2557800
2013-01-25,91.599998,91.620003,91.599998,91.599998,87.350983,188800
2013-01-28,91.599998,91.620003,91.599998,91.599998,87.350983,285500
2013-01-29,91.620003,91.620003,91.599998,91.599998,87.350983,85300
2013-01-30,91.599998,91.620003,91.599998,91.599998,87.350983,160700
2013-01-31,91.620003,91.620003,91.599998,91.620003,87.370064,168400
2013-02-01,91.599998,91.620003,91.599998,91.599998,87.350983,171600
2013-02-04,91.599998,91.620003,91.599998,91.599998,87.350983,112500
2013-02-05,91.599998,91.620003,91.599998,91.620003,87.370064,165500
2013-02-06,91.620003,91.620003,91.599998,91.620003,87.370064,282500
2013-02-07,91.599998,91.620003,91.599998,91.620003,87.370064,50900
2013-02-08,91.620003,91.620003,91.599998,91.620003,87.370064,579700
2013-02-11,91.599998,91.620003,91.599998,91.620003,87.370064,205000
2013-02-12,91.620003,91.620003,91.599998,91.620003,87.370064,195600
2013-02-13,91.620003,91.620003,91.599998,91.599998,87.350983,98300
2013-02-14,91.599998,91.620003,91.599998,91.620003,87.370064,116500
2013-02-15,91.620003,91.620003,91.599998,91.599998,87.350983,51900
2013-02-19,91.620003,91.620003,91.599998,91.599998,87.350983,89200
2013-02-20,91.620003,91.620003,91.599998,91.620003,87.370064,110400
