S5RLST,S5TELS,S5COND,S5CONS,S5ENRS,S5FINL,S5HLTH,S5INDU,S5INFT,S5MATR,S5UTIL
213.32,182.14,1044.4,598.04,287.39,392.86,1151.43,569.72,1822.34,348.1,283.48
211.03,181.1,1041.21,593.62,281.97,382.51,1139.72,563.44,1798.92,343.64,286.98
216.79,185.65,1062.23,603.54,298.5,396.43,1170.82,583.95,1841.13,354.07,289.7
217.56,184.51,1051.29,604.38,298.27,394.78,1165.74,583.95,1828.33,353.33,292.8
218.11,183.56,1039.83,606.01,296.4,396.68,1169.95,582.81,1793.72,351.93,288.92
220.38,184.15,1044.5,609.93,301.45,399.37,1159.85,590.29,1807.54,353.04,298.17
223.37,184.17,1046.66,606.67,297.89,399.73,1163.36,592.26,1798.83,352.88,298.3
225.93,184.03,1045.88,607.87,307.99,405.29,1164.27,596.22,1798.25,355.57,299.22
222.04,181.82,1025.39,598.32,299.54,399.56,1136.59,584.88,1760.27,348.24,297.85
219.81,180.02,1016.5,592.04,299.28,394.14,1134.51,579.51,1745.11,345.02,296.0
213.07,178.44,1009.09,593.11,291.39,382.62,1126.67,568.41,1721.96,338.44,296.64
227.3,187.13,1061.21,616.58,321.81,416.7,1193.84,611.5,1828.24,366.84,308.93
231.73,187.61,1065.43,617.5,338.46,432.93,1195.49,626.44,1797.81,370.97,310.6
234.35,187.28,1065.86,623.16,351.06,442.27,1208.56,642.58,1789.21,375.38,317.33
229.41,185.2,1049.92,617.24,336.52,434.64,1200.89,630.14,1781.2,375.02,309.17
221.44,182.14,1028.05,608.4,313.17,418.46,1181.32,607.57,1734.58,365.88,305.03
225.51,183.62,1033.72,612.01,313.65,410.36,1190.92,601.27,1749.28,364.59,311.09
220.22,183.23,1017.85,610.76,304.37,395.23,1193.3,578.63,1734.98,356.46,307.11
218.78,182.34,1011.44,609.54,296.5,392.01,1186.09,571.28,1718.87,350.29,305.28
214.27,180.89,1002.29,605.78,291.59,387.52,1198.14,570.15,1718.49,348.38,302.05
216.0,179.62,995.55,604.8,292.04,392.28,1183.11,573.74,1698.42,348.08,299.66
213.35,181.35,1006.07,600.31,300.79,398.5,1168.41,579.41,1701.7,345.23,290.83
208.87,180.36,993.3,591.11,297.34,381.92,1156.27,560.67,1692.53,341.73,287.76
202.46,179.85,982.39,587.98,288.94,363.6,1158.51,537.84,1694.51,332.86,285.67
198.09,179.04,983.74,586.04,290.88,364.54,1156.32,538.45,1687.43,333.44,282.46
199.16,179.85,985.3,592.22,295.26,365.83,1165.78,537.56,1711.36,336.79,285.33
197.48,175.13,971.57,585.85,284.4,357.89,1164.35,528.03,1675.91,331.4,283.92
201.21,175.85,972.49,596.29,292.87,367.15,1178.58,534.9,1682.71,334.75,288.82
191.75,172.15,942.3,586.53,272.31,348.6,1167.63,501.72,1640.66,320.14,277.34
192.6,170.01,932.38,582.12,273.07,351.18,1159.19,503.27,1633.76,317.09,281.3
192.42,168.32,920.32,583.95,270.52,342.14,1146.87,498.43,1613.48,313.24,278.65
195.57,171.09,931.57,589.31,282.93,352.74,1159.62,511.55,1641.18,320.23,281.18
204.25,174.47,953.0,594.47,289.78,362.42,1177.17,526.51,1676.99,325.31,283.74
206.76,174.23,952.09,595.63,294.75,369.6,1157.47,533.16,1665.4,330.32,285.1
202.97,171.53,936.51,582.4,282.49,361.68,1151.26,520.17,1642.45,322.59,279.48
201.26,168.89,924.1,584.82,275.67,353.83,1151.78,514.31,1617.93,315.85,278.26
205.04,169.57,921.2,591.32,283.12,362.19,1163.21,521.43,1606.48,321.71,288.39
203.76,168.53,918.01,590.54,282.38,362.44,1138.72,519.21,1583.92,320.75,285.74
203.79,167.99,911.72,590.51,272.28,365.79,1137.89,526.21,1561.7,319.47,283.6
210.61,170.66,955.81,597.56,289.65,378.34,1162.03,542.35,1608.6,326.55,290.71
212.02,170.62,952.07,604.41,296.28,388.77,1167.15,553.65,1615.98,336.5,297.8
211.28,162.42,930.6,606.88,275.99,377.42,1158.58,543.13,1550.58,328.08,300.56
211.23,165.55,933.05,604.23,270.07,374.02,1183.79,533.32,1572.69,321.78,299.5
205.08,164.63,922.03,602.26,264.51,360.99,1168.43,520.2,1558.5,313.51,296.27
204.49,162.91,909.04,595.61,263.96,355.96,1151.83,516.24,1526.34,308.69,294.42
206.95,161.76,906.14,601.74,256.24,357.5,1146.31,512.31,1536.93,307.03,299.7
203.08,157.99,888.09,595.34,247.38,353.65,1128.23,506.51,1479.68,300.64,291.12
206.4,163.18,912.37,609.15,251.6,365.35,1164.79,519.05,1542.96,308.28,295.87
214.41,164.69,924.09,622.12,260.17,372.64,1173.93,533.43,1571.0,316.31,307.83
207.72,162.39,905.55,612.9,235.59,352.99,1150.15,509.49,1549.67,303.9,297.96
208.96,161.7,888.32,608.04,245.34,359.22,1125.42,513.82,1530.65,305.53,297.74
217.24,163.41,902.48,617.69,257.37,375.62,1131.35,528.73,1564.86,319.95,308.09
210.39,158.29,866.22,592.61,258.57,374.38,1095.15,518.92,1502.24,316.31,299.19
220.5,158.14,856.78,597.14,259.63,388.28,1106.01,534.19,1499.2,323.19,309.35
209.71,157.06,844.68,592.48,262.46,369.12,1099.88,526.68,1498.96,309.95,295.33
195.25,154.51,821.32,584.27,245.9,353.56,1055.49,508.15,1458.93,295.2,280.17
195.02,153.48,811.31,591.38,241.07,350.26,1065.43,509.1,1474.59,288.23,283.61
181.9,143.84,753.09,569.07,229.26,325.95,1010.87,475.7,1355.6,267.86,262.97
183.29,147.07,764.32,566.0,232.37,333.4,1020.68,483.2,1378.36,274.27,272.85
180.87,144.44,761.66,550.08,213.04,325.37,993.02,476.24,1347.68,270.22,264.53
192.64,150.35,793.11,560.33,223.4,346.02,1032.9,499.12,1414.36,283.23,281.77
199.13,151.13,807.52,571.52,219.81,356.7,1036.98,505.54,1441.6,287.35,293.57
193.83,145.91,790.18,550.05,217.56,349.66,990.69,498.02,1383.04,278.3,283.1
193.97,152.14,817.74,554.03,233.76,361.62,1015.18,520.58,1449.82,289.32,281.63
179.92,143.46,784.01,524.29,220.02,339.78,948.94,489.2,1363.26,275.71,259.84
172.18,145.77,775.51,525.19,210.56,330.99,937.08,464.6,1367.1,269.78,252.66
158.62,137.76,713.84,500.95,181.03,293.55,870.99,412.06,1239.39,241.67,227.75
167.95,138.3,711.34,516.28,193.93,312.65,916.59,431.44,1251.66,254.16,240.57
177.68,145.02,731.19,552.37,192.08,323.22,955.54,454.35,1309.57,263.45,262.0
180.1,142.65,707.13,568.91,179.94,316.1,973.71,452.86,1295.22,257.74,277.16
194.62,146.78,743.78,586.9,209.92,346.78,1007.95,487.75,1357.53,274.66,290.64
181.99,141.15,714.98,541.45,208.41,327.87,948.61,468.1,1271.4,257.52,256.95
218.08,157.61,813.24,582.16,241.29,381.2,1053.92,528.6,1476.91,290.78,290.48
200.75,144.33,766.6,537.0,221.69,336.66,985.4,490.22,1319.1,271.97,275.2
219.87,158.45,849.84,591.64,252.77,377.3,1064.27,546.68,1463.0,300.9,306.44
232.52,165.62,897.98,622.09,267.37,399.35,1107.57,581.23,1535.19,315.95,322.9
221.47,158.44,852.13,604.41,254.65,376.6,1070.44,552.41,1440.2,303.99,319.67
238.52,168.93,908.3,632.29,318.64,422.74,1129.02,608.4,1557.93,335.02,338.78
242.63,171.06,921.33,637.18,337.59,437.12,1134.9,613.91,1590.23,344.05,341.41
248.49,177.63,957.38,650.13,350.25,459.55,1162.75,645.95,1642.98,355.49,347.07
238.96,171.49,925.78,619.62,342.64,444.92,1098.88,619.97,1575.48,341.78,328.38
239.21,177.39,947.78,627.84,353.68,462.16,1127.57,635.4,1637.61,344.38,332.25
227.7,171.25,915.77,595.21,343.53,440.7,1075.66,618.39,1549.24,330.67,313.85
233.62,170.87,922.88,607.86,339.3,452.33,1091.03,625.79,1537.12,334.7,324.63
247.45,178.08,962.01,633.63,358.94,473.01,1128.63,650.42,1623.63,351.05,340.61
249.64,178.45,968.73,636.73,369.92,476.22,1129.79,655.63,1617.18,352.25,343.93
256.23,182.85,994.64,648.06,386.7,493.01,1164.14,683.15,1670.32,368.08,351.54
259.71,189.12,1031.02,664.57,405.93,509.7,1203.41,704.12,1743.28,378.91,355.67
258.73,191.8,1048.16,662.73,411.11,514.7,1203.03,707.25,1783.42,380.43,356.32
255.78,192.97,1048.28,662.06,411.79,515.37,1210.55,708.42,1801.61,379.92,355.2
259.31,192.26,1043.39,662.61,406.42,511.6,1205.08,708.8,1782.23,379.17,359.13
259.71,191.5,1042.54,665.35,409.82,516.18,1209.53,712.8,1788.47,380.03,356.33
256.87,191.31,1044.33,663.48,413.15,515.78,1207.93,713.22,1779.68,379.81,354.04
255.58,191.03,1046.86,659.83,415.03,516.01,1214.51,718.21,1785.01,381.26,350.46
253.88,189.29,1036.64,660.09,409.47,515.63,1212.83,711.68,1766.25,379.27,350.39
250.82,190.46,1028.76,662.48,405.24,513.56,1205.41,709.17,1772.36,377.33,349.06
247.78,188.88,1016.0,660.01,408.55,512.49,1199.27,705.2,1748.74,377.27,347.89
247.66,188.68,1018.97,658.84,411.64,514.33,1209.05,710.17,1766.0,382.87,348.98
246.67,186.55,1020.57,656.67,415.97,515.2,1207.71,707.99,1750.55,383.18,349.07
246.84,186.46,1015.54,651.73,400.81,505.25,1184.41,696.42,1740.06,376.17,347.61
243.94,185.16,997.96,648.19,400.02,500.06,1164.64,683.84,1695.99,369.72,351.22
243.62,182.84,992.01,648.25,405.45,497.1,1153.96,684.12,1673.91,361.99,350.08
246.98,185.19,983.92,655.54,418.79,507.35,1177.34,700.16,1720.68,370.16,351.64
246.33,186.67,984.65,648.73,415.12,501.09,1186.54,699.57,1705.61,372.35,348.53
247.88,187.48,985.22,652.12,419.59,501.89,1189.86,695.72,1701.97,371.0,347.48
247.14,185.29,975.64,651.35,417.87,496.28,1184.21,691.38,1670.68,367.4,346.2
248.17,188.48,990.75,653.43,429.71,504.03,1193.25,704.53,1711.11,375.28,347.25
248.75,190.47,1004.12,657.7,434.81,510.99,1213.6,707.9,1718.85,377.88,346.11
246.37,191.12,1002.92,659.44,436.39,512.19,1219.64,700.02,1710.58,378.4,342.96
248.33,191.01,1003.97,658.8,440.32,510.83,1218.2,704.1,1704.33,379.89,341.95
245.7,191.1,1005.68,656.56,448.77,515.28,1217.69,711.83,1705.75,383.98,339.11
245.37,189.4,1002.85,654.89,451.74,513.07,1216.96,711.84,1693.66,382.12,336.55
243.44,188.15,993.95,652.87,451.21,509.14,1210.62,704.75,1670.26,379.93,334.52
241.57,187.52,996.51,648.68,454.26,511.95,1200.43,704.15,1669.08,377.51,329.88
242.77,188.08,997.67,648.53,454.25,513.18,1193.9,704.16,1679.09,378.97,328.97
239.8,186.63,994.48,644.13,453.87,509.47,1198.13,697.97,1656.82,373.89,326.82
237.55,186.92,999.92,644.96,456.79,513.48,1197.64,702.98,1659.95,375.48,326.03
237.4,186.44,994.37,640.26,453.36,509.56,1192.03,699.78,1641.38,374.25,324.33
236.4,185.17,992.87,637.39,461.39,506.82,1184.41,698.18,1624.59,372.41,324.34
239.26,185.24,994.12,642.07,462.34,510.23,1187.27,699.04,1626.38,373.19,324.98
239.06,183.01,990.5,640.55,458.77,510.52,1180.33,699.23,1621.68,374.88,324.18
237.14,184.03,999.01,641.67,460.34,516.21,1190.45,700.05,1639.12,381.07,323.82
240.32,181.64,986.29,646.97,456.46,511.39,1188.2,687.6,1611.17,385.85,328.36
238.8,181.28,984.82,646.58,453.39,509.9,1184.66,687.4,1605.15,382.97,326.67
239.11,183.16,991.94,649.97,454.96,511.89,1192.49,691.34,1614.7,384.5,326.82
238.28,183.42,991.42,647.39,457.11,512.59,1191.73,691.59,1614.34,385.48,325.96
236.99,181.94,977.43,646.51,457.06,509.79,1193.14,689.99,1602.48,383.91,325.36
236.59,182.18,976.16,646.79,457.28,509.28,1194.33,692.34,1601.86,383.65,325.02
237.88,182.8,977.43,648.97,452.48,510.17,1190.45,687.99,1597.04,382.07,328.25
236.33,182.1,976.28,644.75,448.55,509.88,1181.27,684.03,1588.02,380.36,325.71
233.83,180.67,972.81,640.66,448.83,509.73,1176.7,682.08,1576.83,379.11,325.89
230.77,180.14,972.84,643.01,447.47,512.16,1175.27,685.49,1577.8,380.02,324.48
233.47,180.12,967.51,643.49,447.64,509.67,1176.3,686.0,1580.49,379.33,323.71
231.71,178.27,963.4,641.18,441.35,507.63,1163.7,686.22,1566.91,377.56,319.58
231.3,178.85,963.02,639.1,445.4,510.03,1165.0,688.12,1556.93,380.66,316.92
234.7,178.86,954.67,639.6,436.81,500.03,1154.8,682.25,1540.24,375.27,318.48
236.49,178.32,951.86,638.63,437.49,501.06,1152.89,677.67,1529.43,372.62,317.43
238.11,178.96,953.89,640.88,436.83,501.07,1151.2,678.85,1529.38,374.82,317.56
237.79,179.48,953.2,639.92,437.91,502.58,1159.11,681.2,1536.81,375.29,319.12
237.55,178.36,945.56,637.57,429.34,495.88,1152.01,672.74,1519.77,371.5,319.83
